slug,name,created_at
aomori-jp,"Aomori, JP",2026-06-25 09:05:56.916018+00
berlin-de,"Berlin, DE",2026-06-25 09:05:56.916018+00
copenhagen-dk,"India",2026-06-25 09:05:56.916018+00
isle-of-skye-uk,"Isle of Skye, UK",2026-06-25 09:05:56.916018+00
pienza-it,"Pienza, IT",2026-06-25 09:05:56.916018+00
various,Various,2026-06-25 09:05:56.916018+00
